workload,task_id,TI_NNLS,TI_GM,SI_NNLS,SI_GM
w6,23,0.0,0.0,0.3355018227175932,1.0
w6,33,0.2176475863498023,0.0,0.9836935545518619,1.0
w6,41,4.056926796813798e-05,0.0,0.631578947368421,0.631578947368421
w6,17,0.0,0.0,0.5018579417085687,1.0
w6,20,0.0,,1.0,
w6,40,0.0,0.0,0.5829981890150704,0.5208333333333334
w6,46,0.0,,1.0,
w6,2,0.0,0.0,1.0,1.0
w6,5,0.18823360658632493,0.0,1.0,1.0
w6,6,0.5090714623448565,0.0,1.0,1.0
w6,9,0.0,,1.0,
w6,18,0.5,,1.0,
w6,25,0.0,,1.0,
w6,26,0.0,,1.0,
w6,31,0.0,,1.0,
w6,34,0.0,,1.0,
w6,42,0.39194628020108724,,1.0,
w6,49,0.0,,1.0,
w7,1,0.0,0.0,0.26641072978118807,0.5384615384615384
w7,3,0.0,0.0,0.49738965007304736,0.5453453453453453
w7,4,0.0,0.0,0.315030483104654,0.48846153846153845
w7,9,1.1102230246251565e-16,0.0,0.526075539873967,0.5037037037037037
w7,10,0.0,0.0,0.4722222222222222,0.4722222222222222
w7,12,1.1102230246251565e-16,0.0,0.47222222222222143,0.4722222222222222
w7,15,0.10675691723073266,0.0,0.5528493580862658,0.537842190016103
w7,20,0.0555555555555558,0.0,0.5555555555555558,0.5480225988700566
w7,24,0.0,0.0,0.5679012345679012,0.5679012345679012
w7,27,0.2759300329396457,0.0,0.7281522240756593,0.5280675940788301
w7,32,0.0,0.0,0.27388784221700674,0.6285714285714286
w7,33,0.0,0.0,0.5735851362914072,0.5740740740740741
w7,34,0.0,0.0,0.5509673852957434,0.55
w7,37,0.35975261611778175,0.0,0.5191709673601526,0.48311224489795923
w7,41,0.0,0.0,0.6072722707741528,0.5653423120089787
w7,42,0.0,0.0,0.7999999999999998,0.8
w7,44,0.02777777777777779,0.0,0.5625000000000001,0.5611111111111111
w7,46,0.0,0.0,0.5694444444444443,0.5694444444444444
w7,49,0.0,0.0,0.3309265658372876,0.4830265707512792
w7,0,0.0003069249952044606,0.0,0.6000000000000001,0.6
w7,23,0.4443514055490172,0.0,0.8585982625884799,0.8191489361702127
w7,25,0.021157632235201507,0.0,0.6000000000000001,0.6016548463356974
w7,39,0.20819055884122917,0.0,0.7390657412968081,0.729094733914011
w7,14,0.006007365114731655,0.0,0.8749999999999998,0.8771929824561403
w7,18,0.0,0.0,0.8333333333333334,0.8333333333333334
w7,21,0.0,0.0,1.0,1.0
w7,26,0.0,0.0,1.0,1.0
w7,30,0.0,0.0,0.5667521564329212,0.7371794871794872
w7,31,0.2870520471002025,0.0,0.581268917259184,0.533011272141707
w7,40,0.0,,1.0,
w7,47,0.0,0.0,0.5555555555555562,0.8333333333333334
w7,29,0.0,0.0,1.0,1.0
w7,36,0.2909647223991755,0.0,0.8517659098885452,0.721385989048043
w7,5,0.0,0.0,1.0,1.0
w7,7,0.0,0.0,0.38427455907139574,0.5478927203065135
w7,22,0.2807420370880065,0.0,1.0,1.0
w7,8,0.0022106207446370707,0.0,1.0,1.0
w7,2,0.0,0.0,1.0,1.0
w7,17,0.0012167029946226204,0.0,1.0,1.0
w7,19,0.0012167029946210661,,1.0,
w7,38,0.1623935672217074,,1.0,
w7,45,0.2042745136830113,,0.5928868848094594,
w7,6,0.0,0.0,0.8750000000000001,1.0
w7,11,0.0,0.0,1.0,1.0
w7,43,0.21965336411209502,,0.7982069693062754,
w7,13,0.19334061373176192,0.0,1.0,1.0
w7,28,0.0,,1.0,
w7,35,0.141448998554615,0.0,1.0,1.0
w7,48,0.0,0.0,1.0,1.0
w8,2,0.0,0.0,0.6316509067730488,0.6666666666666666
w8,6,0.0,0.0,0.6666666666666666,0.6666666666666666
w8,8,0.0,0.0,0.6666666666666627,0.6666666666666666
w8,15,0.0,0.0,0.6464646464646463,0.6464646464646464
w8,22,0.0,0.0,0.6666666666666667,0.6666666666666666
w8,24,0.004139570321722186,0.0,1.0,1.0
w8,29,0.0,0.0,0.7040954095409542,0.7045454545454546
w8,33,0.022553320223870243,0.0,0.7083679977814747,0.7064393939393939
w8,36,0.0,0.0,0.666666666666667,0.6666666666666666
w8,42,0.0,0.0,0.6458333333333334,0.6458333333333334
w8,45,0.0001512127260635543,0.0,0.6666666666666667,0.6666666666666666
w8,49,0.00023761999809901457,0.0,0.9374999999999999,0.9375
w8,11,0.0,0.0,0.7381153985288624,0.7490947368421053
w8,13,1.1102230246251565e-16,0.0,0.7454227370160061,0.7557614035087719
w8,20,0.009242121816972038,0.0,1.0,0.9977168949771689
w8,23,0.0,0.0,0.8,0.8
w8,30,0.0,0.0,0.7666666666666665,0.7666666666666666
w8,4,0.17899592427735167,0.0,0.7868569625087052,0.7699999999999999
